;Title;Date;Time;Score;Number of Comments
238;Woman, 74, sues after sting and tough questioning over moon rock;4/14/2017;4:53:54;49;11
239;Woman jailed after police say she lied about being raped at Texas park;4/14/2017;3:08:09;68;11
240;CIA director Pompeo denounces WikiLeaks as Hostile Intelligence Service;4/14/2017;14:10:22;8;21
241;Strangers tip waitress enough to pay off college debt;4/14/2017;5:44:28;43;25
242;Nasa announce one of Saturns moons could support alien life in our solar system;4/13/2017;22:09:28;160;32
243;Kim Jong-un orders evacuation of Pyongyang;4/14/2017;14:59:31;6;45
244;Students protest teachers firing, given detentions and suspensions.;4/14/2017;5:50:50;35;8
245;Ballooning bills - More U.S. hospitals pushing patients to pay before care;4/13/2017;17:53:45;307;158
246;Chechens tell of prison beatings and electric shocks in anti-gay purge: They called us animals;4/13/2017;20:47:58;176;1
247;Police: No signs of criminality in New York judges death;4/13/2017;17:16:42;311;104
248;China Warns of Storm Clouds Gathering in U.S.-North Korea Standoff;4/14/2017;18:25:08;1;6
249;Four people shot aboard metro transit train in Atlanta;4/14/2017;3:07:23;48;13
250;Family of former Tenn. teacher accused of kidnapping student: Daddy...we just want you to come home;4/14/2017;12:00:20;10;2
251;Scientists Announce That The Great Barrier Reef is Officially Terminal;4/13/2017;3:44:59;3668;494
252;Trumps Mar-a-Lago kitchen cited for food safety violations - BBC News;4/13/2017;20:30:55;154;36
253;New Pulse review from Orlando police reveals details, lessons learned;4/14/2017;15:02:44;5;0
254;Delta Airlines gives family $14,600 for being bumped off short flight;4/13/2017;7:51:01;1576;324
255;Uber may face $1 million fine over California drunken-driving complaints;4/14/2017;13:09:52;7;1
256;Boy, 8, drives sister, 4, to McDonalds for a cheeseburger, doesnt hit anything on the way;4/13/2017;0:05:13;15373;882
257;The bodies of four men, all described as having suffered significant trauma, were discovered in a park in a suburban New York neighborhood that has for years contended with a growing problem of gang violence.;4/13/2017;18:10:14;208;109
258;Detroit-Area Doctor Charged With Performing Female Genital Mutilation - First Ever Charged under Statute;4/13/2017;20:01:59;146;45
259;Attorney for United Airlines passenger Dao says there will probably be a lawsuit;4/13/2017;20:09:50;145;147
260;Satellite photos show North Korean nuclear site primed and ready;4/13/2017;11:37:42;688;348
261;North Korea: Photos of new Ryomyong street complex that is scarier than hundreds of nuclear bombs;4/14/2017;9:02:26;15;8
262;Dozens of Passengers Stuck on Six Flags Coaster;4/14/2017;2:31:50;38;8
263;Nurses grant dying man final wish  a cigarette and glass of wine;4/14/2017;2:06:28;44;20
264;Top boarding school acknowledges sexual abuse dating back decades;4/14/2017;18:40:34;1;0
265;Nigerias anti-corruption unit finds $43 million cash in Lagos apartment;4/14/2017;10:59:09;8;2
266;The legal battle to stop Arkansas 7 executions in 10 days.;4/14/2017;8:49:08;12;0
267;Delaware airmen charged with sexually abusing runaway girl;4/14/2017;7:05:36;14;1
268;Charlie Murphy dead at 57 after battle with leukaemia.;4/12/2017;21:19:03;39282;1067
269;Sexual Abuse at Choate Went on for Decades, School Acknowledges;4/14/2017;5:18:44;19;10
270;Pakistan: Mardan university student lynched by mob over alleged blasphemy: police;4/13/2017;19:58:56;98;28
