ActivityNumber,HobbyName,ActivityName,SeasonName,Status,CategoryName,Community Center,NumberEnrolled,BeginningDate,EndingDate,StartingTime,EndingTime,Minimum Age,Maximum Age,WeekDays,NumberOfHours,NumberOfDates, Fee 
256.2.1881,free diving,Square Dance Sept,Fall 2015,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,10,02/09/2015,23/09/2015,01:30 p. m.,03:30 p. m.,50,0,W,8,4, $29.00 
256.2.1891,diving,Yoga Gentle,Fall 2015,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,6,15/09/2015,17/11/2015,10:30 a. m.,11:30 a. m.,50,0,Tu,10,10, $58.00 
256.2.1892,Skincare Regime,Yoga Gentle,Fall 2015,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,5,24/11/2015,22/12/2015,10:30 a. m.,11:30 a. m.,50,0,Tu,5,5, $29.00 
215.2.1800,Sky diving,Antiques: The Incurable Collector in All of Us,Fall 2015,Closed,Active Adults (50+) Classes,Evergreen Community Center,13,14/09/2015,26/10/2015,01:00 p. m.,03:00 p. m.,50,0,M,12,6, $110.00 
215.2.1810,Skydiving,Enhance Fitness,Fall 2015,Closed,Active Adults (50+) Classes,Evergreen Community Center,18,22/09/2015,22/10/2015,10:00 a. m.,11:00 a. m.,50,0,Tu Th,10,10, $42.00 
215.2.1811,Skydiving,Enhance Fitness,Fall 2015,Closed,Active Adults (50+) Classes,Evergreen Community Center,19,27/10/2015,01/12/2015,10:00 a. m.,11:00 a. m.,50,0,Tu Th,10,10, $42.00 
215.2.1812,Skype,Enhance Fitness,Fall 2015,Closed,Active Adults (50+) Classes,Evergreen Community Center,20,03/12/2015,22/12/2015,10:00 a. m.,11:00 a. m.,50,0,Tu Th,6,6, $21.00 
215.2.1819,Sky running,Line Dance  Level 1/Beginning,Fall 2015,Closed,Active Adults (50+) Classes,Evergreen Community Center,11,30/09/2015,04/11/2015,08:30 a. m.,09:45 a. m.,50,0,W,7.5,6, $31.00 
215.2.1821,Sledding,Line Dance  Level 1/Beginning,Fall 2015,Cancelled,Active Adults (50+) Classes,Evergreen Community Center,0,18/11/2015,16/12/2015,08:30 a. m.,09:45 a. m.,50,0,W,0,0, $28.00 
215.2.1825,Slot car racing,Line Dancing - Advanced,Fall 2015,Closed,Active Adults (50+) Classes,Evergreen Community Center,6,23/09/2015,28/10/2015,01:00 p. m.,02:00 p. m.,50,0,W,6,6, $38.00 
215.2.1826,Snake,Line Dancing - Advanced,Fall 2015,Closed,Active Adults (50+) Classes,Evergreen Community Center,6,04/11/2015,16/12/2015,01:00 p. m.,02:00 p. m.,50,0,W,6,6, $38.00 
215.2.1824,Snooker,Line Dancing - Intermediate,Fall 2015,Closed,Active Adults (50+) Classes,Evergreen Community Center,10,24/09/2015,29/10/2015,02:30 p. m.,03:30 p. m.,50,0,Th,6,6, $35.00 
215.2.1827,Snorkeling,Line Dancing - Intermediate,Fall 2015,Closed,Active Adults (50+) Classes,Evergreen Community Center,10,05/11/2015,17/12/2015,02:30 p. m.,03:30 p. m.,50,0,Th,6,6, $35.00 
210.2.1906,Snow Biking,Knitting and Crochet,Fall 2015,Closed,Active Adults (50+) Classes,Mayfair Community Center,0,28/09/2015,14/12/2015,09:30 a. m.,11:30 a. m.,50,0,M,22,11, $-   
239.2.1810,Snow Skiing,Enhance Fitness,Fall 2015,Closed,Active Adults (50+) Classes,Seven Trees Community Center,18,29/09/2015,05/11/2015,10:00 a. m.,11:00 a. m.,50,0,Tu Th,12,12, $48.00 
